Average Loss 2.300 | Accuracy: 14%
Average Loss 2.137 | Accuracy: 25%
Average Loss 1.965 | Accuracy: 35%
Average Loss 1.800 | Accuracy: 42%
Average Loss 1.624 | Accuracy: 49%
Average Loss 1.493 | Accuracy: 54%
Average Loss 1.381 | Accuracy: 58%
Average Loss 1.294 | Accuracy: 60%
Average Loss 1.212 | Accuracy: 63%
Average Loss 1.141 | Accuracy: 65%
Average Loss 1.079 | Accuracy: 67%
Average Loss 1.037 | Accuracy: 68%
Average Loss 1.001 | Accuracy: 70%
Average Loss 0.960 | Accuracy: 71%
Average Loss 0.926 | Accuracy: 72%
Average Loss 0.894 | Accuracy: 73%
Average Loss 0.865 | Accuracy: 74%
Average Loss 0.841 | Accuracy: 75%
Average Loss 0.821 | Accuracy: 75%
Average Loss 0.802 | Accuracy: 76%
Average Loss 0.786 | Accuracy: 77%
Average Loss 0.771 | Accuracy: 77%
Average Loss 0.758 | Accuracy: 78%
Average Loss 0.749 | Accuracy: 78%
Average Loss 0.734 | Accuracy: 78%
Average Loss 0.723 | Accuracy: 79%
Average Loss 0.708 | Accuracy: 79%
Average Loss 0.695 | Accuracy: 80%
Average Loss 0.684 | Accuracy: 80%
Average Loss 0.673 | Accuracy: 80%
Average Loss 0.664 | Accuracy: 81%
Average Loss 0.656 | Accuracy: 81%
Average Loss 0.647 | Accuracy: 81%
Average Loss 0.641 | Accuracy: 81%
Average Loss 0.635 | Accuracy: 81%
Average Loss 0.628 | Accuracy: 82%
Average Loss 0.622 | Accuracy: 82%
Average Loss 0.613 | Accuracy: 82%
Average Loss 0.609 | Accuracy: 82%
Average Loss 0.602 | Accuracy: 82%
Average Loss 0.599 | Accuracy: 82%
Average Loss 0.592 | Accuracy: 83%
Average Loss 0.588 | Accuracy: 83%
Average Loss 0.584 | Accuracy: 83%
Average Loss 0.579 | Accuracy: 83%
Average Loss 0.574 | Accuracy: 83%
Average Loss 0.570 | Accuracy: 83%
Average Loss 0.565 | Accuracy: 83%
Average Loss 0.562 | Accuracy: 83%
Average Loss 0.557 | Accuracy: 84%
Average Loss 0.554 | Accuracy: 84%
Average Loss 0.549 | Accuracy: 84%
Average Loss 0.544 | Accuracy: 84%
Average Loss 0.542 | Accuracy: 84%
Average Loss 0.537 | Accuracy: 84%
Average Loss 0.533 | Accuracy: 84%
Average Loss 0.530 | Accuracy: 84%
Average Loss 0.528 | Accuracy: 84%
Average Loss 0.524 | Accuracy: 85%
Average Loss 0.520 | Accuracy: 85%
Average Loss 0.516 | Accuracy: 85%
Average Loss 0.513 | Accuracy: 85%
Average Loss 0.510 | Accuracy: 85%
Average Loss 0.508 | Accuracy: 85%
Average Loss 0.504 | Accuracy: 85%
Average Loss 0.502 | Accuracy: 85%
Average Loss 0.498 | Accuracy: 85%
Average Loss 0.495 | Accuracy: 86%
Average Loss 0.490 | Accuracy: 86%
Average Loss 0.489 | Accuracy: 86%
Average Loss 0.486 | Accuracy: 86%
Average Loss 0.483 | Accuracy: 86%
Average Loss 0.481 | Accuracy: 86%
Average Loss 0.479 | Accuracy: 86%
Average Loss 0.477 | Accuracy: 86%
Average Loss 0.475 | Accuracy: 86%
Average Loss 0.473 | Accuracy: 86%
Average Loss 0.471 | Accuracy: 86%
Average Loss 0.469 | Accuracy: 86%
Average Loss 0.466 | Accuracy: 86%
Average Loss 0.464 | Accuracy: 87%
Average Loss 0.462 | Accuracy: 87%
Average Loss 0.460 | Accuracy: 87%
Average Loss 0.459 | Accuracy: 87%
Average Loss 0.457 | Accuracy: 87%
Average Loss 0.455 | Accuracy: 87%
Average Loss 0.453 | Accuracy: 87%
Average Loss 0.452 | Accuracy: 87%
Average Loss 0.450 | Accuracy: 87%
Average Loss 0.449 | Accuracy: 87%
Average Loss 0.447 | Accuracy: 87%
Average Loss 0.445 | Accuracy: 87%
Average Loss 0.443 | Accuracy: 87%
Average Loss 0.441 | Accuracy: 87%
Average Loss 0.439 | Accuracy: 87%
Average Loss 0.437 | Accuracy: 87%
Average Loss 0.435 | Accuracy: 87%
Average Loss 0.434 | Accuracy: 87%
Average Loss 0.432 | Accuracy: 87%
Average Loss 0.432 | Accuracy: 87%
Average Loss 0.430 | Accuracy: 88%
Average Loss 0.428 | Accuracy: 88%
Average Loss 0.427 | Accuracy: 88%
Average Loss 0.426 | Accuracy: 88%
Average Loss 0.425 | Accuracy: 88%
Average Loss 0.424 | Accuracy: 88%
Average Loss 0.423 | Accuracy: 88%
Average Loss 0.422 | Accuracy: 88%
Average Loss 0.421 | Accuracy: 88%
Average Loss 0.421 | Accuracy: 88%
Average Loss 0.419 | Accuracy: 88%
Average Loss 0.418 | Accuracy: 88%
Average Loss 0.417 | Accuracy: 88%
Average Loss 0.415 | Accuracy: 88%
Average Loss 0.414 | Accuracy: 88%
Average Loss 0.413 | Accuracy: 88%
Average Loss 0.412 | Accuracy: 88%
Average Loss 0.411 | Accuracy: 88%
Average Loss 0.410 | Accuracy: 88%
Average Loss 0.409 | Accuracy: 88%
Average Loss 0.408 | Accuracy: 88%
Average Loss 0.407 | Accuracy: 88%
Average Loss 0.405 | Accuracy: 88%
